sku_number;name;meta_description;product_styles1;product_styles2;product_styles3;weave;product_metarials1;product_metarials2;product_colors1;product_colors2;product_colors3;product_colors4;pattern;region;width_by_feet-f;width_by_feet-i;width_by_inches;length_by_feet-f;length_by_feet-i;length_by_inches;height;age;period_made;is_used;has_imperfection;condition_details;price;discount;retail_price;is_local_pickup;local_delivery_miles;pickup_charge;is_own_shipping;is_free_shipping;status
Am10001;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Charcoal;Brown;Dove Gray;Strie;Anatolia;5;11;71;9;10;118;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1575;0,1;3150;x;60;200,00;x;x;1
Am10002;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Charcoal;Tan;Ivory;Strie;Anatolia;7;0;84;11;9;141;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2695;0,1;5390;x;60;200,00;x;x;1
Am10003;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Light Gray;Greige;Ivory;Strie;Anatolia;6;3;75;11;2;134;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2310;0,1;4620;x;60;200,00;x;x;1
Am10004;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Light Gray;Greige;Ivory;Stripe;Anatolia;7;4;88;11;1;133;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2695;0,1;5390;x;60;200,00;x;x;1
Am10005;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Light Gray;Greige;Ivory;Stripe;Anatolia;7;6;90;8;0;96;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1960;0,1;3920;x;60;200,00;x;x;1
Am10006;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Light Gray;Greige;Ivory;Stripe;Anatolia;7;3;87;9;3;111;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2205;0,1;4410;x;60;200,00;x;x;1
Am10007;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Brown;Tan;Ivory;Beige;Geometric;Anatolia;5;6;66;8;6;102;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1400;0,1;2800;x;60;200,00;x;x;1
Am10008;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Charcoal;Brown;Gray;Silver;Stripe;Anatolia;5;8;68;12;8;152;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2100;0,1;4200;x;60;200,00;x;x;1
Am10009;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Pink;Green;Purple;Gray;Geometric;Anatolia;6;7;79;9;8;116;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1890;0,1;3780;x;60;200,00;x;x;1
Am10010;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Blue;Tan;Navy;Purple;Stripe;Anatolia;10;3;123;10;5;125;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;3500;0,1;7000;x;60;200,00;x;x;1
