model;description
0000;denemee.
0002;Handknotted vintage decorative modern red coloured Turkish art deco rug from Isparta region of Turkey. In good condition. Approximatelly 55 years old.
0004;Handknotted vintage modern,decorative,distressed Turkish art deco rug from Isparta region of Turkey. In good condition. Approximatelly 60 years old.
0013;Vintage hand-knotted decorative colourful Turkish art deco rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old.
0014;Vintage hand-knotted decorative floral designed Turkish art deco rug from Isparta region of Turkey. In very good condition. Approximately 50-60 years old.
0015;Hand-knotted vintage decorative Turkish area rug from Isparta region of Turkey. In very good condition. Approximately 50-60 years old.
0016;Hand-knotted vintage decorative Turkish rug coloured with beige and blue. From Isparta region of Turkey. Approximately 55-65 years old.
0017;Hand-knotted vintage decorative Turkish area rug from Isparta region of Turkey. In very good condition. Approximately 50-60 years old.
0018;Vintage decorative hand-knotted Turkish area rug from Isparta region of Turkey. In very good condition. Approximately 50-60 years old.
0020;Hand knotted vintage decorative anti-washed Turkish rug from Konya region of Turkey. In good condition. Approximately 55-65 years old.
0023;Vintage hand-knotted decorative over-dyed wide red Turkish runner from Oushak region of Turkey. In good condition. Approximately 40-50 years old.
0025;Vintage decorative handknotted Turkish rug from Konya region of Turkey. It is in very good condition. Approxmately 50-60 years old.
0028;Handwoven vintage decorative colourful Turkish kilim rug from Denizli region of Turkey. In very good condition. Approximately 45-55 years old.
0029;Handwoven vintage decorative colourful Turkish kilim rug from Antalya region of Turkey. it is in very good condition. Approximately 45-55 years old.
0030;Vintage handwoven decorative colourful Turkish kilim rug from Denizli region of Turkey. In very good condition. Approximately 45-55 years old.
0031;Handwoven vintage decorative colourful Turkish kilim rug from Denizli region of Turkey. In very good condition. Approximately 45-55 years old.
0032;Handwoven vintage kilim from Antalya region of Turkey. It is in very good condition. Approximatel 40-50 years old.
0034;Handwoven vintage Turkish kilim from Fethiye region of Turkey. In very good condition. Approximately 55-65 years old.
0036;Handwoven vintage colourful Turkish kilim from Antalya region of Turkey. In very good condition. Approximately 40-50 years old.
0037;Handwoven vintage oversize Turkish kilim rug from Denizli region of Turkey. In very good condition. Approximately 45-55 years old.
0038;Handwoven vintage kilim from Antalya region of Turkey. In very good condition. Approximately 40-50 years old.
0039;Handwoven vintage kilim rug from Konya region of Turkey. In very good condition. Approximately 55-65 years old.
0040;Handwoven vintage kilim rug from denizli region of Turkey. In very good condition. Approximately 55-65 years old.
0041;Handwoven vintage kilim rug from Antalya region of Turkey. It is in very good condition. Approximately 40-50 years old.
0043;Handwoven vintage kilim rug from Antalya region of Turkey. In very good condition. Approximately 40-50 years old.
0044;Handwoven vintage kilim rug from Denizli region Of Turkey. In very good condition. Approximately 45-55 years old.
